"Incident_ID","Reliability","Date","Quarter","Full_Location","School","City","State","School_Level","Location","Location_Type","During_School","Time_Period","Situation","Bullied","Domestic_Violence","Gang_Related","Preplanned","Shots_Fired","lon","lat"
"20191108TXROD","4",2019-11-08,"Fall","Robert L. Thornton Elementary School Dallas TX","Robert L. Thornton Elementary School","Dallas","TX","Elementary","Basketball Court","Outside on School Property","No","Evening","Escalation of Dispute","No","No","No","No","30",-96.7973521,32.6746196
"20191029NYNEN","4",2019-10-29,"Fall","New Dawn Charter High School New York NY","New Dawn Charter High School","New York","NY","High","Front of School","Outside on School Property","Yes","Dismissal","Escalation of Dispute",NA,"No","No","No","4",-73.9903164,40.6830554
"20191011LARAR","4",2019-10-11,"Fall","Rayne High School Rayne LA","Rayne High School","Rayne","LA","High","Parking Lot","Outside on School Property","No","Sport Event","Indiscriminate Shooting","No","No","No","No","20",-92.2650492,30.2483783
"20191009MAGRL","4",2019-10-09,"Fall","Greenhalge Elementary School Lowell MA","Greenhalge Elementary School","Lowell","MA","Elementary","Playground","Outside on School Property","No","After School","Indiscriminate Shooting",NA,"No","No","No",NA,-71.3091864,42.6573991
"20191008COSHS","4",2019-10-08,"Fall","Sheridan High School Sheridan CO","Sheridan High School","Sheridan","CO","High","Beside Building","Outside on School Property","No","Sport Event","Escalation of Dispute","No","No","No","No",NA,-105.0295671,39.6438845
"20191002GASOA","4",2019-10-02,"Fall","South Atlanta High School Atlanta GA","South Atlanta High School","Atlanta","GA","High","Field (General)","Outside on School Property","No","Sport Event","Escalation of Dispute","No","No","No","No","1",-84.3619385,33.6708384
"20190927NCZEC","3",2019-09-27,"Fall","Zebulon B. Vance High School Charlotte NC","Zebulon B. Vance High School","Charlotte","NC","High","Parking Lot","Outside on School Property","No","Sport Event","Escalation of Dispute","No","No","No","No","<10",-80.7690639,35.3006307
"20190914TXEAF","4",2019-09-14,"Fall","Eastern Hills High School Fort Worth TX","Eastern Hills High School","Fort Worth","TX","High","Football Field/Track","Outside on School Property","No","Sport Event","Escalation of Dispute","No","No","No","No","10-30",-97.2327569,32.7480228
"20190910SCSOA","4",2019-09-10,"Fall","South Aiken High School Aiken SC","South Aiken High School","Aiken","SC","High","Parking Lot","Outside on School Property","No","Dismissal","Escalation of Dispute","No","No","No","No","1",-81.7125391,33.521949
"20190906PAMCJ","4",2019-09-06,"Fall","McKee Middle School Jeannette PA","McKee Middle School","Jeannette","PA","Middle","Football Field/Track","Outside on School Property","No","Sport Event","Escalation of Dispute","No","No","No","No","1",-79.617702,40.3164017
"20190830OHCET","4",2019-08-30,"Summer","Central Catholic High School Toledo OH","Central Catholic High School","Toledo","OH","High","Football Field/Track","Outside on School Property","No","Sport Event","Escalation of Dispute","No","No","No","No","<10",-83.5441,41.673657
"20190827NYROR","3",2019-08-27,"Summer","Roosevelt High School Roosevelt NY","Roosevelt High School","Roosevelt","NY","High","Field (General)","Outside on School Property","No","Not a School Day","Escalation of Dispute","No","No","No","No","3",-73.5803511,40.6875156
"20190824PAWIP","4",2019-08-24,"Summer","William C. Longstreth Elementary School Philadelphia PA","William C. Longstreth Elementary School","Philadelphia","PA","Elementary","Playground","Outside on School Property","No","Evening","Escalation of Dispute","No","No","No","No","6",-75.2324619,39.9406011
"20190823MOPAS","3",2019-08-23,"Summer","Parkway North High School St. Louis MO","Parkway North High School","St. Louis","MO","High","Football Field/Track","Outside on School Property","No","Sport Event","Escalation of Dispute","No","No","No","No","<5",-90.4683907,38.6903332
"20190808ALBLM","4",2019-08-08,"Summer","Blount Elementary School Montgomery AL","Blount Elementary School","Montgomery","AL","Elementary","Parking Lot","Outside on School Property","Yes","School Start","Escalation of Dispute","No","No","No","No","<10",-86.1323882,32.3106622
"20190701NYSCN","4",2019-07-01,"Summer","School of Science and Applied Learning New York NY","School of Science and Applied Learning","New York","NY","Elementary","Playground","Outside on School Property","No","Night","Illegal Activity","No","No","No","No","<10",-73.8871074,40.8458286
"20190629COJAC","2",2019-06-29,"Summer","Jack Swigert Aerospace Academy Colorado Springs CO","Jack Swigert Aerospace Academy","Colorado Springs","CO","Elementary","Football Field/Track","Outside on School Property","No","Night","Escalation of Dispute","No","No","No","No",NA,-104.7502398,38.8358614
"20190621MICAF","4",2019-06-21,"Summer","Carman-Ainsworth High School Flint Township MI","Carman-Ainsworth High School","Flint Township","MI","High","Beside Building","Outside on School Property","No","Sport Event","Escalation of Dispute","No","No","No","No","<10",-83.771621,43.025022
"20190613NJTAW","3",2019-06-13,"Summer","Tamaques Elementary School Westfield NJ","Tamaques Elementary School","Westfield","NJ","Elementary","Parking Lot","Outside on School Property","No","After School","Indiscriminate Shooting","No",NA,"No",NA,"0",-74.3381846,40.6347581
"20190612PAJEE","4",2019-06-12,"Summer","Jefferson Elementary School Emmaus PA","Jefferson Elementary School","Emmaus","PA","Elementary","Parking Lot","Outside on School Property","No","Night","Domestic w/ Targeted Victim","No","Yes","No","No",NA,-75.496742,40.5368949
"20190610ILMEW","4",2019-06-10,"Summer","Menta Academy North Waukegan IL","Menta Academy North","Waukegan","IL","Other","Front of School","Inside School Building","Yes","Afternoon Classes","Escalation of Dispute","No","No","No","No",NA,-87.8393805,42.3526816
"20190507COSTH","5",2019-05-07,"Spring","STEM School Highlands Ranch Highlands Ranch CO","STEM School Highlands Ranch","Highlands Ranch","CO","K-12","Classroom","Inside School Building","Yes","Afternoon Classes","Indiscriminate Shooting","Yes","No","No","Yes",">10",-104.9979225,39.5558326
